Draw Date,Results,Bonus,Jackpot,Outcome
2021 June 2,"['1', '13', '22', '32', '33', '39']",48,"$5,000,000",Won
2021 May 29,"['11', '18', '19', '27', '34', '46']",42,"$6,000,000",Won
2021 May 26,"['7', '10', '20', '38', '45', '49']",26,"$5,000,000",Roll
2021 May 22,"['7', '13', '14', '34', '37', '45']",29,"$8,874,166.80",Won
2021 May 19,"['12', '21', '25', '40', '42', '49']",45,"$6,000,000",Roll
2021 May 15,"['3', '6', '12', '28', '39', '46']", 5,"$5,000,000",Roll
2021 May 12,"['30', '35', '39', '42', '46', '48']",38,"$27,505,450.30",Won
2021 May 8,"['25', '28', '36', '38', '41', '49']",20,"$23,543,013.10",Roll
2021 May 5,"['5', '22', '23', '26', '43', '46']", 4,"$18,937,874.80",Roll
2021 May 1,"['10', '15', '21', '30', '32', '38']",24,"$15,661,218.20",Roll
2021 April 28,"['6', '11', '20', '22', '34', '49']",42,"$11,966,090",Roll
2021 April 24,"['14', '18', '27', '33', '34', '39']",49,"$8,792,246.30",Roll
2021 April 21,"['15', '18', '23', '32', '38', '47']",19,"$6,000,000",Roll
2021 April 17,"['7', '13', '32', '38', '39', '48']",23,"$5,000,000",Roll
2021 April 14,"['4', '6', '12', '23', '36', '47']",18,"$22,802,554.60",Won
2021 April 10,"['5', '16', '19', '24', '28', '34']", 4,"$19,472,212",Roll
2021 April 7,"['23', '31', '34', '38', '39', '41']",12,"$15,981,791.40",Roll
2021 April 3,"['12', '13', '19', '35', '42', '47']",28,"$12,766,681.10",Roll
2021 March 31,"['3', '7', '8', '12', '37', '40']",41,"$9,308,411.70",Roll
2021 March 27,"['15', '16', '17', '30', '36', '40']",34,"$6,551,908",Roll
2021 March 24,"['3', '4', '27', '43', '45', '48']",44,"$5,000,000",Roll
2021 March 20,"['9', '16', '25', '36', '39', '43']",49,"$6,000,000",Won
2021 March 17,"['4', '9', '13', '25', '44', '49']", 3,"$5,000,000",Roll
2021 March 13,"['15', '24', '27', '29', '42', '49']",18,"$27,146,339.50",Won
2021 March 10,"['30', '31', '35', '36', '43', '48']",28,"$23,062,615.20",Roll
2021 March 6,"['2', '14', '18', '21', '26', '48']",19,"$20,000,000",Roll
2021 March 3,"['3', '11', '33', '34', '36', '43']",42,"$15,323,835",Roll
2021 February 27,"['11', '15', '16', '20', '46', '49']",17,"$12,204,576.80",Roll
2021 February 24,"['11', '36', '37', '38', '39', '45']",10,"$8,631,498",Roll
2021 February 20,"['2', '14', '15', '21', '29', '46']", 7,"$6,000,000",Roll
2021 February 17,"['7', '16', '18', '43', '45', '48']",14,"$5,000,000",Roll
2021 February 13,"['16', '17', '27', '40', '41', '45']",38,"$5,000,000",Won
2021 February 10,"['4', '14', '22', '26', '45', '48']",20,"$15,035,008.70",Won
2021 February 6,"['6', '11', '12', '26', '28', '38']",47,"$12,022,027.40",Roll
2021 February 3,"['20', '21', '26', '30', '35', '41']",47,"$8,776,778.50",Roll
2021 January 30,"['3', '23', '26', '35', '42', '44']",32,"$6,000,000",Roll
2021 January 27,"['12', '17', '23', '36', '44', '49']",32,"$5,000,000",Roll
2021 January 23,"['5', '17', '21', '29', '41', '43']",46,"$8,493,122.80",Won
2021 January 20,"['2', '5', '18', '23', '29', '47']",45,"$6,000,000",Roll
2021 January 16,"['9', '10', '21', '28', '35', '43']",34,"$5,000,000",Roll
2021 January 13,"['20', '27', '28', '37', '38', '39']", 9,"$5,000,000",Won
2021 January 9,"['4', '8', '18', '24', '31', '32']",40,"$8,730,601",Won
2021 January 6,"['15', '23', '30', '31', '32', '42']",48,"$6,000,000",Roll
2021 January 2,"['16', '17', '20', '42', '47', '49']",40,"$5,000,000",Roll
